top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_strategy	library_source	library_selection	library_layout	read_count	base_count	first_public	last_updated	center_name	study_title	experiment_title	sample_title	sample_description	collection_date	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes	ScientificName	TaxID	LibraryStrategy	LibrarySource	LibrarySelection	LibraryLayout	BioSample	BioProject
Tumor	no	no	no	no	unknown	unknown	SRR27747551	PRJNA1069754	SRP486182	SAMN39624262	SRS20268239	SRX23412920	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037857	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	14606593	4381977900	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037857: cCR.ASCC_85 Homo sapiens RNA-Seq	cCR.ASCC_85	cCR.ASCC_85	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/051/SRR27747551/SRR27747551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/051/SRR27747551/SRR27747551_2.fastq.gz	8d8a2efc9b0cd980de24e1cac732555d;62e9a0619fa94ff957427c25e925d93a	672722427;667678821				Homo sapiens	9606.0	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SAMN39624262	PRJNA1069754
Tumor	no	no	no	no	unknown	unknown	SRR27747553	PRJNA1069754	SRP486182	SAMN39624264	SRS20268240	SRX23412918	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037855	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	20508356	6152506800	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037855: cCR.ASCC_80 Homo sapiens RNA-Seq	cCR.ASCC_80	cCR.ASCC_80	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/053/SRR27747553/SRR27747553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/053/SRR27747553/SRR27747553_2.fastq.gz	f3b76a6a670acbd512f8e859ede975a2;edfd87b00f0836c6cad6766686fef001	820013906;847234750				Homo sapiens	9606.0	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SAMN39624264	PRJNA1069754
Tumor	no	no	no	no	unknown	unknown	SRR27747556	PRJNA1069754	SRP486182	SAMN39624267	SRS20268235	SRX23412915	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037852	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	21190525	6357157500	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037852: cCR.ASCC_77 Homo sapiens RNA-Seq	cCR.ASCC_77	cCR.ASCC_77	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/056/SRR27747556/SRR27747556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/056/SRR27747556/SRR27747556_2.fastq.gz	539978a04d8b6b8ee98da3c710b98bd6;8fd52fe916cb2d5afbcb60a304989549	908559170;924105251				Homo sapiens	9606.0	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SAMN39624267	PRJNA1069754
Tumor	no	no	no	no	unknown	unknown	SRR27747560	PRJNA1069754	SRP486182	SAMN39624271	SRS20268231	SRX23412911	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037848	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	31956325	9586897500	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037848: cCR.ASCC_7 Homo sapiens RNA-Seq	cCR.ASCC_7	cCR.ASCC_7	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/060/SRR27747560/SRR27747560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/060/SRR27747560/SRR27747560_2.fastq.gz	0e49689b22a7e85099513dac01eb7d1b;ea8af9dbea35d6974aaa4a8e5d83e78a	1692118306;1703665467				Homo sapiens	9606.0	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SAMN39624271	PRJNA1069754
Tumor	no	no	no	no	unknown	unknown	SRR27747562	PRJNA1069754	SRP486182	SAMN39624273	SRS20268236	SRX23412909	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037846	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	19368063	5810418900	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037846: cCR.ASCC_68 Homo sapiens RNA-Seq	cCR.ASCC_68	cCR.ASCC_68	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/062/SRR27747562/SRR27747562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/062/SRR27747562/SRR27747562_2.fastq.gz	9f1386482201ff6220d5b485c2c94593;ca5acca534ad2983e9393ea154982fbf	888564316;895048723				Homo sapiens	9606.0	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SAMN39624273	PRJNA1069754
Tumor	no	no	no	no	unknown	unknown	SRR27747563	PRJNA1069754	SRP486182	SAMN39624274	SRS20268233	SRX23412908	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037845	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	21291867	6387560100	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037845: cCR.ASCC_67 Homo sapiens RNA-Seq	cCR.ASCC_67	cCR.ASCC_67	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/063/SRR27747563/SRR27747563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/063/SRR27747563/SRR27747563_2.fastq.gz	0ecd58ede21726a1ea14ccfb6994579f;9419196c8567f846021d578887f2b5b2	1003782800;1002248541				Homo sapiens	9606.0	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SAMN39624274	PRJNA1069754
Tumor	no	no	no	no	unknown	unknown	SRR27747565	PRJNA1069754	SRP486182	SAMN39624276	SRS20268227	SRX23412906	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037843	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	23490278	7047083400	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037843: cCR.ASCC_64 Homo sapiens RNA-Seq	cCR.ASCC_64	cCR.ASCC_64	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/065/SRR27747565/SRR27747565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/065/SRR27747565/SRR27747565_2.fastq.gz	90ae6e84134be4b212c6f4629244c0d8;62b3b67fb5e89ffc97070e0d83658e74	1162416503;1177712546											
Tumor	no	no	no	no	unknown	unknown	SRR27747566	PRJNA1069754	SRP486182	SAMN39624277	SRS20268226	SRX23412905	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037842	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	22220421	6666126300	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037842: cCR.ASCC_63 Homo sapiens RNA-Seq	cCR.ASCC_63	cCR.ASCC_63	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/066/SRR27747566/SRR27747566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/066/SRR27747566/SRR27747566_2.fastq.gz	4099d2f7ec33f5832851f2f374099ab0;4f01400cb546bc4b01523fcfb1f42f5c	863133499;926995607											
Tumor	no	no	no	no	unknown	unknown	SRR27747572	PRJNA1069754	SRP486182	SAMN39624283	SRS20268221	SRX23412899	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037836	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	19269608	5780882400	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037836: cCR.ASCC_56 Homo sapiens RNA-Seq	cCR.ASCC_56	cCR.ASCC_56	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/072/SRR27747572/SRR27747572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/072/SRR27747572/SRR27747572_2.fastq.gz	414aabfa85756b2a3563533b56e99976;9de7ec65e0490120bb54e3b20709af2f	943401032;949443989											
Tumor	no	no	no	no	unknown	unknown	SRR27747579	PRJNA1069754	SRP486182	SAMN39624290	SRS20268215	SRX23412892	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037829	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	28881305	8664391500	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037829: cCR.ASCC_49 Homo sapiens RNA-Seq	cCR.ASCC_49	cCR.ASCC_49	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/079/SRR27747579/SRR27747579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/079/SRR27747579/SRR27747579_2.fastq.gz	391f8d1683dca6b08ce51858ba243be7;12128fe0a9633ebc4182539ed3d668fc	1303025774;1319470093											
Tumor	no	no	no	no	unknown	unknown	SRR27747582	PRJNA1069754	SRP486182	SAMN39624293	SRS20268211	SRX23412889	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037826	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	26909718	8072915400	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037826: cCR.ASCC_44 Homo sapiens RNA-Seq	cCR.ASCC_44	cCR.ASCC_44	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/082/SRR27747582/SRR27747582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/082/SRR27747582/SRR27747582_2.fastq.gz	b40c5c672ccf6eca443c3b67b7f1a94f;57a519557595c0f6a0f633744a366b92	1324783437;1331863151											
Tumor	no	no	no	no	unknown	unknown	SRR27747586	PRJNA1069754	SRP486182	SAMN39624297	SRS20268206	SRX23412885	SRA1792499	9606.0	Homo sapiens	ILLUMINA	Illumina HiSeq 2500	GSM8037822	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	19472970	5841891000	2024-03-19	2024-03-19		Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma	Illumina HiSeq 2500 sequencing: GSM8037822: cCR.ASCC_36 Homo sapiens RNA-Seq	cCR.ASCC_36	cCR.ASCC_36	missing	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/086/SRR27747586/SRR27747586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/086/SRR27747586/SRR27747586_2.fastq.gz	8afaa4bbfde401b7169e8cda9c4b9366;b984364086ba32562aeb0c52ba586735	943629526;942731118				Homo sapiens	9606.0	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SAMN39624297	PRJNA1069754
