top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	experiment_accession	sample_accession	study_accession	secondary_sample_accession	secondary_study_accession	BioSample	BioProject	experiment_title	sample_title	study_title	sample_description	library_name	library_strategy	library_source	library_layout	instrument_model	read_count	base_count	scientific_name	collection_date	first_public	last_updated	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sra_galaxy	sample_prep_interval	fastq_md5	experimental_protocol	bio_material	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	host_genotype	host_phenotype	environmental_medium	cultivar	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	restriction_site	serovar	investigation_type	location	sra_ftp	age	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_read_type	library_construction_protocol	host_growth_conditions	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	tag	first_created	lat	strain	host_status	tax_id	submitted_format	submitted_host_sex	surveillance_target	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	transposase_protocol	study_alias	library_prep_location	rna_prep_3_protocol	ph	sequencing_longitude	tissue_type	isolation_source	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
Unknown	no	no	no	no	unknown	ovary	SRR066809	SRX027372	SAMN00113716	PRJNA132681	SRS115249	SRP003646	SAMN00113716	PRJNA132681	Illumina Genome Analyzer sequencing: GSM602248: Ovary tissue small RNA	Ovary tissue small RNA	Repertoire of porcine microRNAs in adult ovary and testis by deep sequencing.	Ovary tissue small RNA	GSM602248: Ovary tissue small RNA	RNA-Seq	TRANSCRIPTOMIC	SINGLE	Illumina Genome Analyzer	17620539	669580482	Sus scrofa		2011-04-06	2015-06-19	Sus scrofa	SRA024366					size fractionation												336083203.0								421795851	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR066/SRR066809								female			ftp.sra.ebi.ac.uk/vol1/fastq/SRR066/SRR066809/SRR066809.fastq.gz								Generic	ftp.sra.ebi.ac.uk/vol1/srr/SRR066/SRR066809		3a2d5fd5c94a259a51ed86f670745856																			Illumina Genome Analyzer sequencing: GSM602248: Ovary tissue small RNA							b6b4f5421081331482fe50793ec43ae4		ftp.sra.ebi.ac.uk/vol1/fastq/SRR066/SRR066809/SRR066809.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR066/SRR066809							adult (210-days-old)																public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR066/SRR066809/SRR066809.fastq.gz	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;91561;35497;9821;9822;9823			GSM602248					GSM602248_1						GSM602248: Ovary tissue small RNA		GEO					env_tax;env_tax:terrestrial	2011-04-06				9823.0									SRR066809												GSE24443					Ovary		2011-04-04 09:37:29	2014-05-28 01:18:55	17620539.0	669580482.0	0.0	38.0	320.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/066/SRR066809/SRR066809.sralite.1	SRX027372	GSM602248: Ovary tissue small RNA	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina Genome Analyzer	SRP003646	2.0	132681.0	SRS115249	simple	9823.0	Sus scrofa	GSM602248							no					GEO	SRA024366		public	090B0995B617CF5503A51EB8332B2766	4A751CF7808CFD45B511F5CA3945B9D6
Unknown	no	no	no	no	unknown	ovary	SRR073601	SRX031800	SAMN00138387	PRJNA168994	SRS139288	SRP004630			Illumina Genome Analyzer sequencing: GSM628271: r2d2[1] ovary total RNA	r2d2[1] ovary total RNA	GSE25570: Ovary small RNA	r2d2[1] ovary total RNA	GSM628271: r2d2[1] ovary total RNA	RNA-Seq	TRANSCRIPTOMIC	SINGLE	Illumina Genome Analyzer	31887923	1626284073	Drosophila melanogaster		2010-12-14	2015-06-19	Drosophila melanogaster	SRA026681					size fractionation												1030164696.0								1227484772	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR073/SRR073601											ftp.sra.ebi.ac.uk/vol1/fastq/SRR073/SRR073601/SRR073601.fastq.gz								Generic	ftp.sra.ebi.ac.uk/vol1/srr/SRR073/SRR073601		15834829f00486f1269d4dc9d82d13d4																			Illumina Genome Analyzer sequencing: GSM628271: r2d2[1] ovary total RNA							f06d573837b5e7007aa9acc161a66a3e		ftp.sra.ebi.ac.uk/vol1/fastq/SRR073/SRR073601/SRR073601.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR073/SRR073601																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR073/SRR073601/SRR073601.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32346;32351;7227			GSM628271					GSM628271_1						GSM628271: r2d2[1] ovary total RNA		GEO					env_tax;env_tax:terrestrial	2010-12-14		r2d2[1]		7227.0									SRR073601												GSE25570					Ovary																																													
Unknown	no	no	no	no	unknown	ovary	SRR073602	SRX031801	SAMN00138388	PRJNA168994	SRS139289	SRP004630			Illumina Genome Analyzer sequencing: GSM628272: ago2[414] ovary total RNA	ago2[414] ovary total RNA	GSE25570: Ovary small RNA	ago2[414] ovary total RNA	GSM628272: ago2[414] ovary total RNA	RNA-Seq	TRANSCRIPTOMIC	SINGLE	Illumina Genome Analyzer	32730644	1669262844	Drosophila melanogaster		2010-12-14	2015-06-19	Drosophila melanogaster	SRA026681					size fractionation												1065361309.0								1265618650	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR073/SRR073602											ftp.sra.ebi.ac.uk/vol1/fastq/SRR073/SRR073602/SRR073602.fastq.gz								Generic	ftp.sra.ebi.ac.uk/vol1/srr/SRR073/SRR073602		05c59dae2c7078548b6f10971145cadb																			Illumina Genome Analyzer sequencing: GSM628272: ago2[414] ovary total RNA							7091fcd715752319edf48092f57b997d		ftp.sra.ebi.ac.uk/vol1/fastq/SRR073/SRR073602/SRR073602.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR073/SRR073602																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR073/SRR073602/SRR073602.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32346;32351;7227			GSM628272					GSM628272_1						GSM628272: ago2[414] ovary total RNA		GEO					env_tax;env_tax:terrestrial	2010-12-14		ago2[414]		7227.0									SRR073602												GSE25570					Ovary																																													
Unknown	no	no	no	no	unknown	ovary	SRR12008091	SRX8541185	SAMN15230452	PRJNA561416	SRS6835984	SRP219044			Illumina HiSeq 2500 sequencing: GSM4615209: Adult ovary dataset1 Drosophila melanogaster RNA-Seq	Adult ovary dataset1	A Cell Atlas of the Drosophila ovary	Adult ovary dataset1		RNA-Seq	TRANSCRIPTOMIC	PAIRED	Illumina HiSeq 2500	299217715	37102996660	Drosophila melanogaster		2020-09-09	2023-06-10	A Cell Atlas of the Drosophila ovary	SRA946766					cDNA												10152890214.0								5217522577;10869882856	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR120/091/SRR12008091											ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/091/SRR12008091/SRR12008091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/091/SRR12008091/SRR12008091_2.fastq.gz								Generic	ftp.sra.ebi.ac.uk/vol1/srr/SRR120/091/SRR12008091		579a534e6445207bdd8fc814e135bf02;f63c5f31a36eead0415ce712661cba37																			Illumina HiSeq 2500 sequencing: GSM4615209: Adult ovary dataset1 Drosophila melanogaster RNA-Seq							437199b9ee4e2b6d24b1aa49b44930c0		ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/091/SRR12008091/SRR12008091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/091/SRR12008091/SRR12008091_2.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR120/091/SRR12008091																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR120/091/SRR12008091/SRR12008091_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR120/091/SRR12008091/SRR12008091_2.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32346;32351;7227			GSM4615209					GSM4615209_r1				Flies were dissected within 45 min in ice cold Schneider's Insect Medium with 10% FBS and 167 mg/ml insulin on an ice pack. Tissue was transferred to an eppendorf tube containing ice cold Cell Dissociation Buffer (Thermo Fisher Scientific #13151014) and rinsed once with the buffer. Dissociation was performed at RT in Cell Dissociation Buffer with 4 mg/ml elastase (Worthington Biochemical LS002292) and 2.5 mg/ml collagenase (Invitrogen # 17018-029) with nutation and regular pipetting with a P200 to aid tissue dissociation. After 20 min the solution was passed through a 50 µm filter (Partec #04-0042-2317) and the solution incubated for additional 10 min before passage through a 30 µm filter (Miltenyi Biotec #130-041-407). Enzymes where quenched by adding 500 µl of dissection solution and cells were centrifuged for 5 min at 4°C and 3500 rcf. For the dataset1 dataset cells were subjected to MACS. Cells were washed in dissection solution and centrifuged again before being resuspended in ice cold 200 µl PBS with 0.04 % ultrapure BSA (Thermo Fisher Scientific AM2616). Dissociation was verified and cells were counted using a cell counting chamber and the solution adjusted to 1000 cells per µl. Single Cell 3' v2, 10X Genomics Single-cell RNA-sequencing		GSM4615209		GEO					env_tax;env_tax:terrestrial	2020-09-09				7227.0									SRR12008091												GSE136162					ovary																																													
Unknown	no	no	no	no	unknown	ovary	SRR12008092	SRX8541186	SAMN15230451	PRJNA561416	SRS6835985	SRP219044			Illumina HiSeq 2500 sequencing: GSM4615210: Adult ovary dataset2 Drosophila melanogaster RNA-Seq	Adult ovary dataset2	A Cell Atlas of the Drosophila ovary	Adult ovary dataset2		RNA-Seq	TRANSCRIPTOMIC	PAIRED	Illumina HiSeq 2500	225401108	20511500828	Drosophila melanogaster		2020-09-09	2020-09-09	A Cell Atlas of the Drosophila ovary	SRA946766					cDNA												9079265275.0								10040189165	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR120/092/SRR12008092											ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/092/SRR12008092/SRR12008092.fastq.gz								Generic	ftp.sra.ebi.ac.uk/vol1/srr/SRR120/092/SRR12008092		e4edf5844d6a505e5530980263fb293d																			Illumina HiSeq 2500 sequencing: GSM4615210: Adult ovary dataset2 Drosophila melanogaster RNA-Seq							9e3c43c34510e558b578bd756c754ec4		ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/092/SRR12008092/SRR12008092.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR120/092/SRR12008092																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR120/092/SRR12008092/SRR12008092.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32346;32351;7227			GSM4615210					GSM4615210_r1				Flies were dissected within 45 min in ice cold Schneider's Insect Medium with 10% FBS and 167 mg/ml insulin on an ice pack. Tissue was transferred to an eppendorf tube containing ice cold Cell Dissociation Buffer (Thermo Fisher Scientific #13151014) and rinsed once with the buffer. Dissociation was performed at RT in Cell Dissociation Buffer with 4 mg/ml elastase (Worthington Biochemical LS002292) and 2.5 mg/ml collagenase (Invitrogen # 17018-029) with nutation and regular pipetting with a P200 to aid tissue dissociation. After 20 min the solution was passed through a 50 µm filter (Partec #04-0042-2317) and the solution incubated for additional 10 min before passage through a 30 µm filter (Miltenyi Biotec #130-041-407). Enzymes where quenched by adding 500 µl of dissection solution and cells were centrifuged for 5 min at 4°C and 3500 rcf. For the dataset1 dataset cells were subjected to MACS. Cells were washed in dissection solution and centrifuged again before being resuspended in ice cold 200 µl PBS with 0.04 % ultrapure BSA (Thermo Fisher Scientific AM2616). Dissociation was verified and cells were counted using a cell counting chamber and the solution adjusted to 1000 cells per µl. Single Cell 3' v2, 10X Genomics Single-cell RNA-sequencing		GSM4615210		GEO					env_tax;env_tax:terrestrial	2020-09-09				7227.0									SRR12008092												GSE136162					ovary																																													
Unknown	no	no	no	no	unknown	ovary	SRR12008093	SRX8541186	SAMN15230451	PRJNA561416	SRS6835985	SRP219044			Illumina HiSeq 2500 sequencing: GSM4615210: Adult ovary dataset2 Drosophila melanogaster RNA-Seq	Adult ovary dataset2	A Cell Atlas of the Drosophila ovary	Adult ovary dataset2		RNA-Seq	TRANSCRIPTOMIC	PAIRED	Illumina HiSeq 2500	222777998	20272797818	Drosophila melanogaster		2020-09-09	2020-09-09	A Cell Atlas of the Drosophila ovary	SRA946766					cDNA												8993754960.0								9930125795	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR120/093/SRR12008093											ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/093/SRR12008093/SRR12008093.fastq.gz								Generic	ftp.sra.ebi.ac.uk/vol1/srr/SRR120/093/SRR12008093		7d0a3cd8722c48d9b129ccb4e8076ab4																			Illumina HiSeq 2500 sequencing: GSM4615210: Adult ovary dataset2 Drosophila melanogaster RNA-Seq							d07b34bd526067a9b6eb69a379172f4b		ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/093/SRR12008093/SRR12008093.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR120/093/SRR12008093																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR120/093/SRR12008093/SRR12008093.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32346;32351;7227			GSM4615210					GSM4615210_r2				Flies were dissected within 45 min in ice cold Schneider's Insect Medium with 10% FBS and 167 mg/ml insulin on an ice pack. Tissue was transferred to an eppendorf tube containing ice cold Cell Dissociation Buffer (Thermo Fisher Scientific #13151014) and rinsed once with the buffer. Dissociation was performed at RT in Cell Dissociation Buffer with 4 mg/ml elastase (Worthington Biochemical LS002292) and 2.5 mg/ml collagenase (Invitrogen # 17018-029) with nutation and regular pipetting with a P200 to aid tissue dissociation. After 20 min the solution was passed through a 50 µm filter (Partec #04-0042-2317) and the solution incubated for additional 10 min before passage through a 30 µm filter (Miltenyi Biotec #130-041-407). Enzymes where quenched by adding 500 µl of dissection solution and cells were centrifuged for 5 min at 4°C and 3500 rcf. For the dataset1 dataset cells were subjected to MACS. Cells were washed in dissection solution and centrifuged again before being resuspended in ice cold 200 µl PBS with 0.04 % ultrapure BSA (Thermo Fisher Scientific AM2616). Dissociation was verified and cells were counted using a cell counting chamber and the solution adjusted to 1000 cells per µl. Single Cell 3' v2, 10X Genomics Single-cell RNA-sequencing		GSM4615210		GEO					env_tax;env_tax:terrestrial	2020-09-09				7227.0									SRR12008093												GSE136162					ovary																																													
Unknown	no	no	no	no	unknown	ovary	SRR12008094	SRX8541187	SAMN15230450	PRJNA561416	SRS6835986	SRP219044			Illumina HiSeq 2500 sequencing: GSM4615211: Adult ovary dataset3 Drosophila melanogaster RNA-Seq	Adult ovary dataset3	A Cell Atlas of the Drosophila ovary	Adult ovary dataset3		RNA-Seq	TRANSCRIPTOMIC	PAIRED	Illumina HiSeq 2500	379061161	34494565651	Drosophila melanogaster		2020-09-09	2020-09-09	A Cell Atlas of the Drosophila ovary	SRA946766					cDNA												15384929457.0								16943377973	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR120/094/SRR12008094											ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/094/SRR12008094/SRR12008094.fastq.gz								Generic	ftp.sra.ebi.ac.uk/vol1/srr/SRR120/094/SRR12008094		70a29349468a11ae734345c0866a972a																			Illumina HiSeq 2500 sequencing: GSM4615211: Adult ovary dataset3 Drosophila melanogaster RNA-Seq							a934731483b3570848da843a3194aa93		ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/094/SRR12008094/SRR12008094.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR120/094/SRR12008094																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR120/094/SRR12008094/SRR12008094.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32346;32351;7227			GSM4615211					GSM4615211_r1				Flies were dissected within 45 min in ice cold Schneider's Insect Medium with 10% FBS and 167 mg/ml insulin on an ice pack. Tissue was transferred to an eppendorf tube containing ice cold Cell Dissociation Buffer (Thermo Fisher Scientific #13151014) and rinsed once with the buffer. Dissociation was performed at RT in Cell Dissociation Buffer with 4 mg/ml elastase (Worthington Biochemical LS002292) and 2.5 mg/ml collagenase (Invitrogen # 17018-029) with nutation and regular pipetting with a P200 to aid tissue dissociation. After 20 min the solution was passed through a 50 µm filter (Partec #04-0042-2317) and the solution incubated for additional 10 min before passage through a 30 µm filter (Miltenyi Biotec #130-041-407). Enzymes where quenched by adding 500 µl of dissection solution and cells were centrifuged for 5 min at 4°C and 3500 rcf. For the dataset1 dataset cells were subjected to MACS. Cells were washed in dissection solution and centrifuged again before being resuspended in ice cold 200 µl PBS with 0.04 % ultrapure BSA (Thermo Fisher Scientific AM2616). Dissociation was verified and cells were counted using a cell counting chamber and the solution adjusted to 1000 cells per µl. Single Cell 3' v2, 10X Genomics Single-cell RNA-sequencing		GSM4615211		GEO					env_tax;env_tax:terrestrial	2020-09-09				7227.0									SRR12008094												GSE136162					ovary																																													
Unknown	no	no	no	no	unknown	ovary	SRR12008095	SRX8541187	SAMN15230450	PRJNA561416	SRS6835986	SRP219044			Illumina HiSeq 2500 sequencing: GSM4615211: Adult ovary dataset3 Drosophila melanogaster RNA-Seq	Adult ovary dataset3	A Cell Atlas of the Drosophila ovary	Adult ovary dataset3		RNA-Seq	TRANSCRIPTOMIC	PAIRED	Illumina HiSeq 2500	368642192	33546439472	Drosophila melanogaster		2020-09-09	2020-09-09	A Cell Atlas of the Drosophila ovary	SRA946766					cDNA												15154079520.0								16628391721	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR120/095/SRR12008095											ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/095/SRR12008095/SRR12008095.fastq.gz								Generic	ftp.sra.ebi.ac.uk/vol1/srr/SRR120/095/SRR12008095		2239b4daa40c3608da92f52583629a37																			Illumina HiSeq 2500 sequencing: GSM4615211: Adult ovary dataset3 Drosophila melanogaster RNA-Seq							2b3b2a561e4a92a21043fb9e7234016a		ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/095/SRR12008095/SRR12008095.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR120/095/SRR12008095																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR120/095/SRR12008095/SRR12008095.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32346;32351;7227			GSM4615211					GSM4615211_r2				Flies were dissected within 45 min in ice cold Schneider's Insect Medium with 10% FBS and 167 mg/ml insulin on an ice pack. Tissue was transferred to an eppendorf tube containing ice cold Cell Dissociation Buffer (Thermo Fisher Scientific #13151014) and rinsed once with the buffer. Dissociation was performed at RT in Cell Dissociation Buffer with 4 mg/ml elastase (Worthington Biochemical LS002292) and 2.5 mg/ml collagenase (Invitrogen # 17018-029) with nutation and regular pipetting with a P200 to aid tissue dissociation. After 20 min the solution was passed through a 50 µm filter (Partec #04-0042-2317) and the solution incubated for additional 10 min before passage through a 30 µm filter (Miltenyi Biotec #130-041-407). Enzymes where quenched by adding 500 µl of dissection solution and cells were centrifuged for 5 min at 4°C and 3500 rcf. For the dataset1 dataset cells were subjected to MACS. Cells were washed in dissection solution and centrifuged again before being resuspended in ice cold 200 µl PBS with 0.04 % ultrapure BSA (Thermo Fisher Scientific AM2616). Dissociation was verified and cells were counted using a cell counting chamber and the solution adjusted to 1000 cells per µl. Single Cell 3' v2, 10X Genomics Single-cell RNA-sequencing		GSM4615211		GEO					env_tax;env_tax:terrestrial	2020-09-09				7227.0									SRR12008095												GSE136162					ovary																																													
Unknown	no	no	no	no	unknown	intestine	SRR13978575	SRX10356147	SAMN18313521	PRJNA714749	SRS8474108	SRP310910			Illumina NovaSeq 6000 sequencing: Ovary queenright workers - Colony B	Ovary queenright workers - Colony B	DNA methylation in the brain and ovary of Apis mellifera	Ovary queenright workers - Colony B	Ovary_QR_col.B	Bisulfite-Seq	GENOMIC	PAIRED	Illumina NovaSeq 6000	57449498	17234849400	Apis mellifera	2018-03-31	2021-03-19	2021-03-19		SRA1206734					RANDOM												5689950261.0				Dr. Carlos Cardoso Jr			Queenright Colony B	3562088671;3549546142	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR139/075/SRR13978575								female			ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/075/SRR13978575/SRR13978575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/075/SRR13978575/SRR13978575_2.fastq.gz							Australia	Invertebrate	ftp.sra.ebi.ac.uk/vol1/srr/SRR139/075/SRR13978575		9b39ed770c2ad34d5e403c7173e173fe;b86061f7ed8ecc8174304380e77a3d92							2018-03-31												Illumina NovaSeq 6000 sequencing: Ovary queenright workers - Colony B							39ab437191a29abe05be002178dee148		ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/075/SRR13978575/SRR13978575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/075/SRR13978575/SRR13978575_2.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR139/075/SRR13978575																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR139/075/SRR13978575/SRR13978575_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR139/075/SRR13978575/SRR13978575_2.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7399;7400;7434;34735;3042114;7458;70987;83321;7459;7460			Ovary_QR_col.B		2018-03-30			FCH3YT5DSXX_L3_APIohpMAAAIAAA-35_1.fq.gz						Ovary_QR_col.B		SUB9294587					env_tax;env_tax:terrestrial	2021-03-19				7460.0									SRR13978575												PRJNA714749					Ovary	University of Sydney																																												
Unknown	no	no	no	no	unknown	intestine	SRR13978576	SRX10356146	SAMN18313520	PRJNA714749	SRS8474106	SRP310910			Illumina NovaSeq 6000 sequencing: Ovary queenless workers - Colony B	Ovary queenless workers - Colony B	DNA methylation in the brain and ovary of Apis mellifera	Ovary queenless workers - Colony B	Ovary_QL_col.B	Bisulfite-Seq	GENOMIC	PAIRED	Illumina NovaSeq 6000	48966882	14690064600	Apis mellifera	2018-03-31	2021-03-19	2021-03-19		SRA1206734					RANDOM												4865371276.0				Dr. Carlos Cardoso Jr			Queenless Colony B	3039218437;3046526384	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR139/076/SRR13978576								female			ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/076/SRR13978576/SRR13978576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/076/SRR13978576/SRR13978576_2.fastq.gz							Australia	Invertebrate	ftp.sra.ebi.ac.uk/vol1/srr/SRR139/076/SRR13978576		0f78aa337936ffce4a48695539c08b10;7e2edd86fd534310f6701d8fe5576955							2018-03-31												Illumina NovaSeq 6000 sequencing: Ovary queenless workers - Colony B							b118f9c09958f4bd3a3287f22be8d60e		ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/076/SRR13978576/SRR13978576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR139/076/SRR13978576/SRR13978576_2.fastq.gz									ftp.sra.ebi.ac.uk/vol1/srr/SRR139/076/SRR13978576																							public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR139/076/SRR13978576/SRR13978576_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR139/076/SRR13978576/SRR13978576_2.fastq.gz	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33392;7399;7400;7434;34735;3042114;7458;70987;83321;7459;7460			Ovary_QL_col.B		2018-03-30			FCH3YT5DSXX_L3_APIohpMAAAJAAA-36_1.fq.gz						Ovary_QL_col.B		SUB9294587					env_tax;env_tax:terrestrial	2021-03-19				7460.0									SRR13978576												PRJNA714749					Ovary	University of Sydney																																												
