top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	Experiment	SampleName	BioSample	SRAStudy	BioProject	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	LibraryLayout	LibraryStrategy	LibrarySource	Platform	Model	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	first_public	last_updated	age	altitude	cell_line	cell_type	disease	environment_biome	host	host_body_site	isolate	location	sex	strain	temperature	tissue_type	sampling_site	experimental_factor	broker_name	center_name	experiment_title	library_name	library_selection	scientific_name	collection_date	study_title	sample_title	submitted_ftp	fastq_ftp	dev_stage	environment_feature	environment_material	environmental_medium	environmental_sample	host_genotype	host_phenotype	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibrarySelection	InsertSize	InsertDev	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
Unknown	no	no	no	no	unknown	unknown	SRR30155474	SRX25623098	GSM8443684	SAMN43055866	SRP524598	PRJNA1144979	PRJNA1144979	SRP524598	SRX25623098	SAMN43055866	SRS22268148	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	26985381	8149585062	2025-07-27	2025-07-27																			Illumina NovaSeq 6000 sequencing: GSM8443684: bone marrow metastasis rep 2 Homo sapiens RNA-Seq	GSM8443684	cDNA			Polyamine Depletion Inhibits Ewing Sarcoma Metastasis by Inducing Ferroptosis			ftp.sra.ebi.ac.uk/vol1/fastq/SRR301/074/SRR30155474/SRR30155474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR301/074/SRR30155474/SRR30155474_2.fastq.gz								2025-07-16 21:55:31	2024-08-07 05:18:11	26985381.0	8149585062.0	26985381.0	302.0	2506.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR030/30155/SRR30155474/SRR30155474.lite.1	GSM8443684	cDNA	0.0	0.0		1144979.0	SRS22268148	simple	9606.0	Homo sapiens							no					JOHNS HOPKINS UNIVERSITY	SRA1941860		public	72BFAE61B7D36B8A26FD038CE81FD081	E136546302021BFED11426A411799AA4
Tumor	no	no	no	no	unknown	unknown	SRR30555027						PRJNA1155896	SRP530671	SRX25978335	SAMN43473741	SRS22555570						Illumina NovaSeq 6000	PAIRED	AMPLICON	METAGENOMIC	80332	40166000	2024-09-08	2024-09-08							mouse			28.0 N 113.0 E								SUB14702421	Illumina NovaSeq 6000 sequencing: gut microbita of mouse	BCP-NS3	PCR	mouse metagenome	2022-11	The research of gut microbiota participating in morphine tolerance in bone cancer pain mice	Metagenome or environmental sample from mouse metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/027/SRR30555027/SRR30555027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/027/SRR30555027/SRR30555027_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR30555028						PRJNA1155896	SRP530671	SRX25978334	SAMN43473740	SRS22555569						Illumina NovaSeq 6000	PAIRED	AMPLICON	METAGENOMIC	81189	40594500	2024-09-08	2024-09-08							mouse			28.0 N 113.0 E								SUB14702421	Illumina NovaSeq 6000 sequencing: gut microbita of mouse	BCP-NS2	PCR	mouse metagenome	2022-11	The research of gut microbiota participating in morphine tolerance in bone cancer pain mice	Metagenome or environmental sample from mouse metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/028/SRR30555028/SRR30555028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/028/SRR30555028/SRR30555028_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR30555029						PRJNA1155896	SRP530671	SRX25978333	SAMN43473739	SRS22555568						Illumina NovaSeq 6000	PAIRED	AMPLICON	METAGENOMIC	81478	40739000	2024-09-08	2024-09-08							mouse			28.0 N 113.0 E								SUB14702421	Illumina NovaSeq 6000 sequencing: gut microbita of mouse	BCP-NS1	PCR	mouse metagenome	2022-11	The research of gut microbiota participating in morphine tolerance in bone cancer pain mice	Metagenome or environmental sample from mouse metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/029/SRR30555029/SRR30555029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/029/SRR30555029/SRR30555029_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR30555030						PRJNA1155896	SRP530671	SRX25978332	SAMN43473738	SRS22555567						Illumina NovaSeq 6000	PAIRED	AMPLICON	METAGENOMIC	81799	40899500	2024-09-08	2024-09-08							mouse			28.0 N 113.0 E								SUB14702421	Illumina NovaSeq 6000 sequencing: gut microbita of mouse	BCP-MT7	PCR	mouse metagenome	2022-11	The research of gut microbiota participating in morphine tolerance in bone cancer pain mice	Metagenome or environmental sample from mouse metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/030/SRR30555030/SRR30555030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/030/SRR30555030/SRR30555030_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR30555031						PRJNA1155896	SRP530671	SRX25978331	SAMN43473789	SRS22555566						Illumina NovaSeq 6000	PAIRED	AMPLICON	METAGENOMIC	80067	40033500	2024-09-08	2024-09-08							mouse			28.0 N 113.0 E								SUB14702421	Illumina NovaSeq 6000 sequencing: gut microbita of mouse	N50	PCR	mouse metagenome	2023-03	The research of gut microbiota participating in morphine tolerance in bone cancer pain mice	Metagenome or environmental sample from mouse metagenome		ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/031/SRR30555031/SRR30555031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/031/SRR30555031/SRR30555031_2.fastq.gz																																											
Unknown	no	no	no	no	unknown	unknown	SRR33301182						PRJNA1254742	SRP581035	SRX28546235	SAMN48121714	SRS24845387						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	37508454	7447181072	2025-04-26	2025-04-26																		SUB15276552	Illumina NovaSeq 6000 sequencing: sh-PURB#2	lib04	cDNA			The PURB-HOTAIR complex regulates p53-dependent promoter-specific transcriptional activation			ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/082/SRR33301182/SRR33301182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/082/SRR33301182/SRR33301182_2.fastq.gz																																											
Unknown	no	no	no	no	unknown	unknown	SRR33301183						PRJNA1254742	SRP581035	SRX28546234	SAMN48121713	SRS24845385						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	45700047	9077177203	2025-04-26	2025-04-26																		SUB15276552	Illumina NovaSeq 6000 sequencing: sh-NC#2	lib03	cDNA			The PURB-HOTAIR complex regulates p53-dependent promoter-specific transcriptional activation			ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/083/SRR33301183/SRR33301183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/083/SRR33301183/SRR33301183_2.fastq.gz																																											
Unknown	no	no	no	no	unknown	unknown	SRR33301184						PRJNA1254742	SRP581035	SRX28546233	SAMN48121712	SRS24845383						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	43160631	8573154902	2025-04-26	2025-04-26																		SUB15276552	Illumina NovaSeq 6000 sequencing: sh-PURB#1	lib02	cDNA			The PURB-HOTAIR complex regulates p53-dependent promoter-specific transcriptional activation			ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/084/SRR33301184/SRR33301184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/084/SRR33301184/SRR33301184_2.fastq.gz																																											
Unknown	no	no	no	no	unknown	unknown	SRR33301185						PRJNA1254742	SRP581035	SRX28546232	SAMN48121711	SRS24845388						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	40767839	8103352235	2025-04-26	2025-04-26																		SUB15276552	Illumina NovaSeq 6000 sequencing: sh-NC#1	lib01	cDNA			The PURB-HOTAIR complex regulates p53-dependent promoter-specific transcriptional activation			ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/085/SRR33301185/SRR33301185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR333/085/SRR33301185/SRR33301185_2.fastq.gz																																											
