top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	Experiment	SampleName	BioSample	SRAStudy	BioProject	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	LibraryLayout	LibraryStrategy	LibrarySource	Platform	Model	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	first_public	last_updated	age	altitude	cell_line	cell_type	disease	environment_biome	host	host_body_site	isolate	location	sex	strain	temperature	tissue_type	sampling_site	experimental_factor	broker_name	center_name	experiment_title	library_name	library_selection	scientific_name	collection_date	study_title	sample_title	submitted_ftp	fastq_ftp	dev_stage	environment_feature	environment_material	environmental_medium	environmental_sample	host_genotype	host_phenotype	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibrarySelection	InsertSize	InsertDev	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
Tumor	no	no	no	no	unknown	unknown	SRR26963671	SRX22657352	NOZ	SAMN38415284	SRP474529	PRJNA1044934	PRJNA1044934	SRP474529	SRX22657352	SAMN38415284	SRS19653170	SINGLE	miRNA-Seq	OTHER	ILLUMINA	Illumina NovaSeq 6000	Illumina NovaSeq 6000	SINGLE	miRNA-Seq	OTHER	13782539	689126950	2023-11-30	2023-12-12			NOZ	moderately differentiated adenocarcinoma					Not applicable					Not applicable				SUB13999889	Illumina NovaSeq 6000 sequencing: miRNA of NOZ	FRRN220259337-1a	other	Homo sapiens	2022-09-27	Homo sapiens Raw sequence reads	NOZ		ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/071/SRR26963671/SRR26963671.fastq.gz	Not applicable							2023-11-28 03:34:51	2023-11-28 03:20:43	13782539.0	689126950.0	0.0	50.0	197.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR026/26963/SRR26963671/SRR26963671.lite.1	FRRN220259337-1a	other	0.0	0.0		1044934.0	SRS19653170	simple	9606.0	Homo sapiens					Not applicable		no					BANARAS HINDU UNIVERSITY	SRA1757455		public	0A53751D1BCCD772FDD438288E7D64F6	6CE97B40269D3070567479763D885031
Tumor	no	no	no	no	unknown	unknown	SRR28602426						PRJNA1098210	SRP500577	SRX24200989	SAMN40903357	SRS20972807						Illumina NovaSeq 6000	SINGLE	OTHER	OTHER	908919	15705856	2025-08-26	2025-08-26				Colorectal adenocarcinoma										Metastasis					Illumina NovaSeq 6000 sequencing: GSM8194925: Gallbladder Metastasis Sample 73 Mus musculus OTHER	GSM8194925	other	Mus musculus	missing	Forward genetic screening in engineered colorectal cancer organoids identifies novel regulators of metastasis [crispr gRNA knockout screening 2]	Gallbladder Metastasis Sample 73		ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/026/SRR28602426/SRR28602426.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR28782462						PRJNA1102906	SRP503614	SRX24347019	SAMN41034781	SRS21106126						Illumina NovaSeq 6000	PAIRED	WXS	GENOMIC	15421252	4114153603	2024-10-28	2024-10-28									case#8		male			Gallbladder carcinoma				SUB14391254	Illumina NovaSeq 6000 sequencing: Gallbladder carcinoma	H22-00161-19	Hybrid Selection	Homo sapiens	2022-01-06	Exome data of cancerous tumors in biliary tract cancers	Human sample from Homo sapiens		ftp.sra.ebi.ac.uk/vol1/fastq/SRR287/062/SRR28782462/SRR28782462.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR287/062/SRR28782462/SRR28782462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR287/062/SRR28782462/SRR28782462_2.fastq.gz																																											
Cell line	yes	yes	no	no	unknown	lung	SRR30063173						PRJNA1093555	SRP525110	SRX25537246	SAMN42903172	SRS22189886						Illumina HiSeq 4000	PAIRED	Targeted-Capture	GENOMIC	0	0	2024-09-27	2024-09-27											male							NCI-phs003597	Illumina HiSeq 4000 sequencing: Multi-omic PDAC	ST-00007380-M_DNA	PCR	Homo sapiens		Ongoing Replication Stress Tolerance and Clonal T Cell Responses Distinguish Liver and Lung Recurrence and Patient Outcomes in Pancreatic Ductal Adenocarcinoma	"Pancreatic Neoplasms tumor DNA/RNA sample from Gallbladder of a human male participant in the dbGaP study ""Ongoing Replication Stress Tolerance and Clonal T Cell Responses Distinguish Liver and Lung Recurrence and Patient Outcomes in Pancreatic Ductal Adenocarcinoma"""	Protected file(s). Go to dbGap																																												
Cell line	yes	yes	no	no	unknown	lung	SRR30063746						PRJNA1093555	SRP525110	SRX25537546	SAMN42903172	SRS22189886						Illumina HiSeq 4000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	0	0	2024-09-27	2024-09-27											male							NCI-phs003597	Illumina HiSeq 4000 sequencing: Multi-omic PDAC	ST-00007380-M_RNA	PCR	Homo sapiens		Ongoing Replication Stress Tolerance and Clonal T Cell Responses Distinguish Liver and Lung Recurrence and Patient Outcomes in Pancreatic Ductal Adenocarcinoma	"Pancreatic Neoplasms tumor DNA/RNA sample from Gallbladder of a human male participant in the dbGaP study ""Ongoing Replication Stress Tolerance and Clonal T Cell Responses Distinguish Liver and Lung Recurrence and Patient Outcomes in Pancreatic Ductal Adenocarcinoma"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	lung	SRR30552091						PRJNA1157185	SRP530581	SRX25975426	SAMN43506118	SRS22552789						Illumina HiSeq 2500	PAIRED	RNA-Seq	TRANSCRIPTOMIC	22699445	4585287890	2024-09-14	2024-09-14			epithelial cells	MDO										Metastasis-Gallbladder					Illumina HiSeq 2500 sequencing: GSM8497643: Metastasis derived organoid harvested from mouse gallbladder. Origins from PDO23. Homo sapiens RNA-Seq	GSM8497643	cDNA	Homo sapiens	missing	Modeling Lung Adenocarcinoma Metastases Using Patient-Derived Organoids	Metastasis derived organoid harvested from mouse gallbladder. Origins from PDO23.		ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/091/SRR30552091/SRR30552091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR305/091/SRR30552091/SRR30552091_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR32560242						PRJNA1231233	SRP567718	SRX27870040	SAMN47205168	SRS24242712						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	23396008	7018802400	2025-03-09	2025-03-09				female					disease		female			gallbladder				SUB15151673	Illumina NovaSeq 6000 sequencing: RNAseq of mice	6	PolyA	Homo sapiens	missing	Unveiling the Key Role of GPX3 in Oxidative Stress and Tumor Metastasis in Gallbladder Cancer: A Comprehensive Study from Cellular to In Vivo Investigations	SE-23-014 6		ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32560242/SRR32560242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/042/SRR32560242/SRR32560242_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR32560243						PRJNA1231233	SRP567718	SRX27870039	SAMN47205167	SRS24242711						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	23853246	7155973800	2025-03-07	2025-03-07				female					disease		female			gallbladder				SUB15151673	Illumina NovaSeq 6000 sequencing: RNAseq of mice	5	PolyA	Homo sapiens	missing	Unveiling the Key Role of GPX3 in Oxidative Stress and Tumor Metastasis in Gallbladder Cancer: A Comprehensive Study from Cellular to In Vivo Investigations	SE-23-014 5		ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/043/SRR32560243/SRR32560243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/043/SRR32560243/SRR32560243_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR32560244						PRJNA1231233	SRP567718	SRX27870038	SAMN47205166	SRS24242709						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	22962166	6888649800	2025-03-09	2025-03-09				female					disease		female			gallbladder				SUB15151673	Illumina NovaSeq 6000 sequencing: RNAseq of mice	4	PolyA	Homo sapiens	missing	Unveiling the Key Role of GPX3 in Oxidative Stress and Tumor Metastasis in Gallbladder Cancer: A Comprehensive Study from Cellular to In Vivo Investigations	SE-23-014 4		ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/044/SRR32560244/SRR32560244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR325/044/SRR32560244/SRR32560244_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR32814047						PRJNA1240436	SRP572296	SRX28097527	SAMN47519217	SRS24454692						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	23396008	7018802400	2025-03-30	2025-03-30									treat		female			gallbladder				SUB15192865	Illumina NovaSeq 6000 sequencing: RNAseq of mice	6	PolyA	Mus musculus	missing	Targeting PGC-1a in Bladder Cancer: Unraveling Energy Metabolism Reprogramming for Therapeutic Intervention	sampleDE22-6		ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/047/SRR32814047/SRR32814047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/047/SRR32814047/SRR32814047_2.fastq.gz																																											
