top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	Experiment	SampleName	BioSample	SRAStudy	BioProject	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	LibraryLayout	LibraryStrategy	LibrarySource	Platform	Model	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	first_public	last_updated	age	altitude	cell_line	cell_type	disease	environment_biome	host	host_body_site	isolate	location	sex	strain	temperature	tissue_type	sampling_site	experimental_factor	broker_name	center_name	experiment_title	library_name	library_selection	scientific_name	collection_date	study_title	sample_title	submitted_ftp	fastq_ftp	dev_stage	environment_feature	environment_material	environmental_medium	environmental_sample	host_genotype	host_phenotype	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibrarySelection	InsertSize	InsertDev	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
Tumor	no	no	no	no	unknown	lung	SRR27932682						PRJNA597628	SRP242230	SRX23590712	SAMN38701995	SRS20435285						Illumina NovaSeq 6000	PAIRED	WXS	GENOMIC	0	0	2025-07-05	2025-07-05											male							NCI-phs001954	Illumina NovaSeq 6000 sequencing: ICPC Lung Cancer East Asia, Tumor Whole Exome Sequencing: Sample P151-T-WES	P151-T-WES	Hybrid Selection	Homo sapiens		International Cancer Proteogenome Consortium (ICPC): Proteogenomics of Early Stage Lung Adenocarcinoma in Taiwan	"Tumor DNA sample from Lung of a human male participant in the dbGaP study ""International Cancer Proteogenome Consortium (ICPC): Proteogenomics of Early Stage Lung Adenocarcinoma in Taiwan"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	lung	SRR27932910						PRJNA597628	SRP242230	SRX23589816	SAMN38701846	SRS20434579						Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	0	0	2025-07-05	2025-07-05											male							NCI-phs001954	Illumina NovaSeq 6000 sequencing: ICPC Lung Cancer East Asia, Tumor Whole Genome Sequencing: Sample P228-T-WGS	P228-T-WGS	RANDOM	Homo sapiens		International Cancer Proteogenome Consortium (ICPC): Proteogenomics of Early Stage Lung Adenocarcinoma in Taiwan	"Tumor DNA sample from Lung of a human male participant in the dbGaP study ""International Cancer Proteogenome Consortium (ICPC): Proteogenomics of Early Stage Lung Adenocarcinoma in Taiwan"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	lung	SRR27933513						PRJNA597628	SRP242230	SRX23590770	SAMN38701833	SRS20435332						Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	0	0	2025-07-05	2025-07-05											male							NCI-phs001954	Illumina NovaSeq 6000 sequencing: ICPC Lung Cancer East Asia, Tumor Whole Genome Sequencing: Sample P151-T-WGS	P151-T-WGS	RANDOM	Homo sapiens		International Cancer Proteogenome Consortium (ICPC): Proteogenomics of Early Stage Lung Adenocarcinoma in Taiwan	"Tumor DNA sample from Lung of a human male participant in the dbGaP study ""International Cancer Proteogenome Consortium (ICPC): Proteogenomics of Early Stage Lung Adenocarcinoma in Taiwan"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	lung	SRR28567577						PRJNA1081963	SRP502050	SRX24167980	SAMN40459712	SRS20946658						Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	0	0	2024-05-13	2024-05-13																		NCI-phs003570	Illumina NovaSeq 6000 sequencing: Lung cancer plasma ctDNA sequencing for subtype prediction	L-0485	RANDOM	Homo sapiens		Detecting and subtyping lung cancer through analysis of gene expression from circulating tumor DNA	"Lung Neoplasms tumor DNA sample from PDX of a human participant in the dbGaP study ""Detecting and Subtyping Lung Cancer Through Analysis of Circulating Tumor DNA"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	lung	SRR28567579						PRJNA1081963	SRP502050	SRX24167982	SAMN40459842	SRS20946662						Illumina NovaSeq 6000	PAIRED	Targeted-Capture	GENOMIC	0	0	2024-05-13	2024-05-13																		NCI-phs003570	Illumina NovaSeq 6000 sequencing: Lung cancer plasma ctDNA sequencing for subtype prediction	L-0545	Hybrid Selection	Homo sapiens		Detecting and subtyping lung cancer through analysis of gene expression from circulating tumor DNA	"Lung Neoplasms tumor DNA sample from PDX of a human participant in the dbGaP study ""Detecting and Subtyping Lung Cancer Through Analysis of Circulating Tumor DNA"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	lung	SRR30260285						PRJNA1148665	SRP526720	SRX25721374	SAMN43210211	SRS22362206						Illumina HiSeq 3000	SINGLE	RNA-Seq	TRANSCRIPTOMIC	16948417	838905548	2024-09-29	2024-09-29														lung cancer (Large cell neuroendocrine carcinoma)					Illumina HiSeq 3000 sequencing: GSM8463287: OB_pat_LuC_59 Homo sapiens RNA-Seq	GSM8463287	cDNA	Homo sapiens	missing	RNA-sequencing of non-small cell lung cancer tissue samples	OB_pat_LuC_59		ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/085/SRR30260285/SRR30260285.fastq.gz																																											
Tumor	no	no	no	no	unknown	lung	SRR30398913						PRJNA1152511	SRP528622	SRX25825135	SAMN43365264	SRS22454455						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	17120665	5007038801	2025-09-01	2025-09-01									paracancerous pulmonary large cell carcinoma		male			Lung				SUB14685080	Illumina NovaSeq 6000 sequencing: RNA-Seq of human: paracancerous lung cancer organoids	NO_49	cDNA	Homo sapiens	2023-07-27	Kindlin-2 mediated mesenchymal stromal cells promote the formation of lung cancer organoids	Human sample from Homo sapiens		ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/013/SRR30398913/SRR30398913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/013/SRR30398913/SRR30398913_2.fastq.gz																																											
Tumor	no	no	no	no	unknown	lung	SRR30398914						PRJNA1152511	SRP528622	SRX25825134	SAMN43365261	SRS22454451						Illumina NovaSeq 6000	PAIRED	RNA-Seq	TRANSCRIPTOMIC	17939378	5227975962	2025-09-01	2025-09-01									pulmonary large cell carcinoma		male			Lung				SUB14685080	Illumina NovaSeq 6000 sequencing: RNA-Seq of human: lung cancer organoids	TO_49	cDNA	Homo sapiens	2023-07-27	Kindlin-2 mediated mesenchymal stromal cells promote the formation of lung cancer organoids	Human sample from Homo sapiens		ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/014/SRR30398914/SRR30398914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/014/SRR30398914/SRR30398914_2.fastq.gz																																											
Cell line	yes	no	no	no	unknown	unknown	SRR32032649						PRJNA1205811	SRP562224	SRX27382519	SAMN46273297	SRS23816061						NextSeq 500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	0	0	2025-04-26	2025-04-26											female							NCI-phs003880	NextSeq 500 sequencing: RNAseq of NSCLC patient tissue: K0017.Post Inferior	S17T	PolyA	Homo sapiens		Metabolic Biomarkers in Thoracic Cancers	"Sample from a human female participant in the dbGaP study ""Metabolic Biomarkers in Thoracic Cancers"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	lung	SRR34546733						PRJNA1290948	SRP600981	SRX29689651	SAMN49979061	SRS25801619						NextSeq 2000	PAIRED	OTHER	GENOMIC	12756512	1275651200	2025-07-17	2025-07-17																			NextSeq 2000 sequencing: GSM9104284: 1st replicate of YAP1 CUT&RUN on SALE-RIT1 M90I + YAP8SA cells. Homo sapiens OTHER	GSM9104284	other			Mutant RIT1 cooperates with YAP to drive an EMT-like lung cancer state [CUT&Run]			ftp.sra.ebi.ac.uk/vol1/fastq/SRR345/033/SRR34546733/SRR34546733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR345/033/SRR34546733/SRR34546733_2.fastq.gz																																											
