top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	Experiment	SampleName	BioSample	SRAStudy	BioProject	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	LibraryLayout	LibraryStrategy	LibrarySource	Platform	Model	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	first_public	last_updated	age	altitude	cell_line	cell_type	disease	environment_biome	host	host_body_site	isolate	location	sex	strain	temperature	tissue_type	sampling_site	experimental_factor	broker_name	center_name	experiment_title	library_name	library_selection	scientific_name	collection_date	study_title	sample_title	submitted_ftp	fastq_ftp	dev_stage	environment_feature	environment_material	environmental_medium	environmental_sample	host_genotype	host_phenotype	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibrarySelection	InsertSize	InsertDev	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
Cell line	yes	yes	no	no	unknown	unknown	SRR30680860	SRX26099174	GSM8518388	SAMN43790098	SRP533002	PRJNA1161691	PRJNA1161691	SRP533002	SRX26099174	SAMN43790098	SRS22665090	SINGLE	RNA-Seq	TRANSCRIPTOMIC	ILLUMINA	Illumina HiSeq 2500	Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	9960478	752141116	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518388: M01_Blood_Nod2KO_MDP_NCM_5 Mus musculus RNA-Seq	GSM8518388	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_5		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/060/SRR30680860/SRR30680860.fastq.gz								2024-11-15 00:45:26	2024-09-16 21:46:45	9960478.0	752141116.0	0.0	75.0	295.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR030/30680/SRR30680860/SRR30680860.lite.1	GSM8518388	cDNA	0.0	0.0	3.0	1161691.0	SRS22665090	simple	10090.0	Mus musculus							no					NORTHWESTERN UNIVERSITY	SRA1973347		public	91DC397196CFB84456589701C7C14F77	29405C8A04E5AEE0B9531F18F404D9A5
Cell line	yes	yes	no	no	unknown	unknown	SRR30680861	SRX26099174	GSM8518388	SAMN43790098	SRP533002	PRJNA1161691	PRJNA1161691	SRP533002	SRX26099174	SAMN43790098	SRS22665090	SINGLE	RNA-Seq	TRANSCRIPTOMIC	ILLUMINA	Illumina HiSeq 2500	Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	9950315	751356959	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518388: M01_Blood_Nod2KO_MDP_NCM_5 Mus musculus RNA-Seq	GSM8518388	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_5		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/061/SRR30680861/SRR30680861.fastq.gz								2024-11-15 00:45:26	2024-09-16 21:46:51	9950315.0	751356959.0	0.0	75.0	294.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR030/30680/SRR30680861/SRR30680861.lite.1	GSM8518388	cDNA	0.0	0.0	3.0	1161691.0	SRS22665090	simple	10090.0	Mus musculus							no					NORTHWESTERN UNIVERSITY	SRA1973347		public	57A4BB34DD46A855017AC5EA68CB1953	DE8C04F0BEB62F4CD941EAD946EC6772
Cell line	yes	yes	no	no	unknown	unknown	SRR30680862	SRX26099174	GSM8518388	SAMN43790098	SRP533002	PRJNA1161691	PRJNA1161691	SRP533002	SRX26099174	SAMN43790098	SRS22665090	SINGLE	RNA-Seq	TRANSCRIPTOMIC	ILLUMINA	Illumina HiSeq 2500	Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	10109949	763421285	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518388: M01_Blood_Nod2KO_MDP_NCM_5 Mus musculus RNA-Seq	GSM8518388	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_5		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/062/SRR30680862/SRR30680862.fastq.gz								2024-11-15 00:45:26	2024-09-16 21:46:49	10109949.0	763421285.0	0.0	75.0	305.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR030/30680/SRR30680862/SRR30680862.lite.1	GSM8518388	cDNA	0.0	0.0	3.0	1161691.0	SRS22665090	simple	10090.0	Mus musculus							no					NORTHWESTERN UNIVERSITY	SRA1973347		public	CD65CB0193AFA9E9A26632044444E43C	8B4E0895E2F8AF21CD22073C9CB41CD5
Cell line	yes	yes	no	no	unknown	unknown	SRR30680863	SRX26099174	GSM8518388	SAMN43790098	SRP533002	PRJNA1161691	PRJNA1161691	SRP533002	SRX26099174	SAMN43790098	SRS22665090	SINGLE	RNA-Seq	TRANSCRIPTOMIC	ILLUMINA	Illumina HiSeq 2500	Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	9979809	753592830	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518388: M01_Blood_Nod2KO_MDP_NCM_5 Mus musculus RNA-Seq	GSM8518388	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_5		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/063/SRR30680863/SRR30680863.fastq.gz								2024-11-15 00:45:26	2024-09-16 21:46:48	9979809.0	753592830.0	0.0	75.0	300.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR030/30680/SRR30680863/SRR30680863.lite.1	GSM8518388	cDNA	0.0	0.0	3.0	1161691.0	SRS22665090	simple	10090.0	Mus musculus							no					NORTHWESTERN UNIVERSITY	SRA1973347		public	B89479ABAFA9BCB51134CA5B2B1838EB	EF367DB3550D9A30DA04B3F5702767A5
Cell line	yes	yes	no	no	unknown	unknown	SRR30680864						PRJNA1161691	SRP533002	SRX26099173	SAMN43790099	SRS22665089						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	9458417	714167207	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518387: M01_Blood_Nod2KO_MDP_NCM_4 Mus musculus RNA-Seq	GSM8518387	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_4		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/064/SRR30680864/SRR30680864.fastq.gz																																											
Cell line	yes	yes	no	no	unknown	unknown	SRR30680865						PRJNA1161691	SRP533002	SRX26099173	SAMN43790099	SRS22665089						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	9309861	702944337	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518387: M01_Blood_Nod2KO_MDP_NCM_4 Mus musculus RNA-Seq	GSM8518387	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_4		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/065/SRR30680865/SRR30680865.fastq.gz																																											
Cell line	yes	yes	no	no	unknown	unknown	SRR30680866						PRJNA1161691	SRP533002	SRX26099173	SAMN43790099	SRS22665089						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	9604008	725156018	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518387: M01_Blood_Nod2KO_MDP_NCM_4 Mus musculus RNA-Seq	GSM8518387	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_4		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/066/SRR30680866/SRR30680866.fastq.gz																																											
Cell line	yes	yes	no	no	unknown	unknown	SRR30680867						PRJNA1161691	SRP533002	SRX26099173	SAMN43790099	SRS22665089						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	9369867	707479155	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518387: M01_Blood_Nod2KO_MDP_NCM_4 Mus musculus RNA-Seq	GSM8518387	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_4		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/067/SRR30680867/SRR30680867.fastq.gz																																											
Cell line	yes	yes	no	no	unknown	unknown	SRR30680868						PRJNA1161691	SRP533002	SRX26099172	SAMN43790100	SRS22665088						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	3359192	253347705	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518386: M01_Blood_Nod2KO_MDP_NCM_3 Mus musculus RNA-Seq	GSM8518386	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_3		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/068/SRR30680868/SRR30680868.fastq.gz																																											
Cell line	yes	yes	no	no	unknown	unknown	SRR30680869						PRJNA1161691	SRP533002	SRX26099172	SAMN43790100	SRS22665088						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	3297350	248676558	2024-11-16	2024-11-16			NCM											Blood					Illumina HiSeq 2500 sequencing: GSM8518386: M01_Blood_Nod2KO_MDP_NCM_3 Mus musculus RNA-Seq	GSM8518386	cDNA	Mus musculus	missing	Inducible CCR2+ nonclassical monocytes mediate the regression of cancer metastasis	M01_Blood_Nod2KO_MDP_NCM_3		ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/069/SRR30680869/SRR30680869.fastq.gz																																											
