top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	Experiment	SampleName	BioSample	SRAStudy	BioProject	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	LibraryLayout	LibraryStrategy	LibrarySource	Platform	Model	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	first_public	last_updated	age	altitude	cell_line	cell_type	disease	environment_biome	host	host_body_site	isolate	location	sex	strain	temperature	tissue_type	sampling_site	experimental_factor	broker_name	center_name	experiment_title	library_name	library_selection	scientific_name	collection_date	study_title	sample_title	submitted_ftp	fastq_ftp	dev_stage	environment_feature	environment_material	environmental_medium	environmental_sample	host_genotype	host_phenotype	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibrarySelection	InsertSize	InsertDev	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
Tumor	no	no	no	no	unknown	unknown	SRR24742216	SRX20519446	GSM7428206	SAMN35369792	SRP439659	PRJNA976283	PRJNA976283	SRP439659	SRX20519446	SAMN35369792	SRS17829393	PAIRED	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	ILLUMINA	NextSeq 500	NextSeq 500	PAIRED	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	183796191	55138857300	2023-12-29	2023-12-29				neuroendocrine										uterine neuroendocrine tumor					NextSeq 500 sequencing: GSM7428206: Uterine_neuroendocrine [OE180716630-04] Homo sapiens RNA-Seq	GSM7428206	cDNA	Homo sapiens	missing	Single-cell transcriptome analysis of small cell neuroendocrine tumor of the endometrium reveals ISL1 as a potential biomarker for diagnosis and treatment	Uterine_neuroendocrine [OE180716630-04]		ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/016/SRR24742216/SRR24742216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/016/SRR24742216/SRR24742216_2.fastq.gz								2023-12-27 21:57:56	2023-05-25 22:38:58	183796191.0	55138857300.0	183796191.0	300.0	19676.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR024/24742/SRR24742216/SRR24742216.lite.1	GSM7428206	cDNA	0.0	0.0	3.0	976283.0	SRS17829393	simple	9606.0	Homo sapiens							no					YIN LIU LAB, DEPARTMENT OF LABORATORY MEDICINE, SHANGHAI PULMONARY HOSPITAL	SRA1644555		public	7D3CA7C179FC22F333C7E3CA16B7EF96	F3EDEA2A255861DF2575FE352D3246AE
Tumor	no	no	no	no	unknown	unknown	SRR24742217						PRJNA976283	SRP439659	SRX20519445	SAMN35369793	SRS17829395						NextSeq 500	PAIRED	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	198825253	59647575900	2023-12-29	2023-12-29				neuroendocrine										uterine neuroendocrine tumor					NextSeq 500 sequencing: GSM7428205: Uterine_neuroendocrine [OE180716630-03] Homo sapiens RNA-Seq	GSM7428205	cDNA	Homo sapiens	missing	Single-cell transcriptome analysis of small cell neuroendocrine tumor of the endometrium reveals ISL1 as a potential biomarker for diagnosis and treatment	Uterine_neuroendocrine [OE180716630-03]		ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/017/SRR24742217/SRR24742217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR247/017/SRR24742217/SRR24742217_2.fastq.gz																																											
Cell line	yes	no	no	no	unknown	lung	SRR30947474						PRJNA1171488	SRP537843	SRX26350033	SAMN44246621	SRS22875150						NextSeq 500	PAIRED	RNA-Seq	TRANSCRIPTOMIC	62708380	12667092760	2025-03-31	2025-03-31			NCI-H69	Epithelial					an aneuploid cell line isolated from 55-year old white male with small cell carcinoma		male			Lung				SUB14784448	NextSeq 500 sequencing: RNA-Seq of small cell lung cancer cell line	H69_B_Ill	cDNA	Homo sapiens	2024-05-17	Benchmarking long-read RNA-sequencing technologies with LongBench: a multi-group dataset spanning bulk and single-cell modalities	Human sample from Homo sapiens		ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/074/SRR30947474/SRR30947474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/074/SRR30947474/SRR30947474_2.fastq.gz																																											
Cell line	yes	no	no	no	unknown	lung	SRR30947485						PRJNA1171488	SRP537843	SRX26350022	SAMN44246621	SRS22875150						PromethION	SINGLE	RNA-Seq	TRANSCRIPTOMIC	11416477	15249358461	2025-03-31	2025-03-31			NCI-H69	Epithelial					an aneuploid cell line isolated from 55-year old white male with small cell carcinoma		male			Lung				SUB14784448	PromethION sequencing: lrRNA-Seq of small cell lung cancer cell line	H69_dRNA_ONT	cDNA	Homo sapiens	2024-05-17	Benchmarking long-read RNA-sequencing technologies with LongBench: a multi-group dataset spanning bulk and single-cell modalities	Human sample from Homo sapiens		ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/085/SRR30947485/SRR30947485_1.fastq.gz																																											
Cell line	yes	no	no	no	unknown	lung	SRR31760988						PRJNA1171488	SRP537843	SRX27122791	SAMN44246621	SRS22875150						PromethION	SINGLE	RNA-Seq	TRANSCRIPTOMIC	0	0	2025-03-31	2025-03-31			NCI-H69	Epithelial					an aneuploid cell line isolated from 55-year old white male with small cell carcinoma		male			Lung				SUB14919210	PromethION sequencing: lrRNA-Seq of small cell lung cancer cell line	H69_dRNA_ONT_2_reload	cDNA	Homo sapiens	2024-05-17	Benchmarking long-read RNA-sequencing technologies with LongBench: a multi-group dataset spanning bulk and single-cell modalities	Human sample from Homo sapiens																																													
Cell line	yes	no	no	no	unknown	lung	SRR31760989						PRJNA1171488	SRP537843	SRX27122790	SAMN44246621	SRS22875150						PromethION	SINGLE	RNA-Seq	TRANSCRIPTOMIC	0	0	2025-03-31	2025-03-31			NCI-H69	Epithelial					an aneuploid cell line isolated from 55-year old white male with small cell carcinoma		male			Lung				SUB14919210	PromethION sequencing: lrRNA-Seq of small cell lung cancer cell line	H69_dRNA_ONT_2	cDNA	Homo sapiens	2024-05-17	Benchmarking long-read RNA-sequencing technologies with LongBench: a multi-group dataset spanning bulk and single-cell modalities	Human sample from Homo sapiens																																													
Cell line	yes	no	no	no	unknown	lung	SRR31770140						PRJNA1171488	SRP537843	SRX27131837	SAMN44246621	SRS22875150						PromethION	SINGLE	RNA-Seq	TRANSCRIPTOMIC	27390502	36113157017	2025-03-31	2025-03-31			NCI-H69	Epithelial					an aneuploid cell line isolated from 55-year old white male with small cell carcinoma		male			Lung				SUB14940325	PromethION sequencing: lrRNA-Seq of small cell lung cancer cell line	H69_dRNA_ONT_topup	cDNA	Homo sapiens	2024-05-17	Benchmarking long-read RNA-sequencing technologies with LongBench: a multi-group dataset spanning bulk and single-cell modalities	Human sample from Homo sapiens		ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/040/SRR31770140/SRR31770140_1.fastq.gz																																											
Cell line	yes	no	no	no	unknown	unknown	SRR32032649						PRJNA1205811	SRP562224	SRX27382519	SAMN46273297	SRS23816061						NextSeq 500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	0	0	2025-04-26	2025-04-26											female							NCI-phs003880	NextSeq 500 sequencing: RNAseq of NSCLC patient tissue: K0017.Post Inferior	S17T	PolyA	Homo sapiens		Metabolic Biomarkers in Thoracic Cancers	"Sample from a human female participant in the dbGaP study ""Metabolic Biomarkers in Thoracic Cancers"""	Protected file(s). Go to dbGap																																												
Cell line	yes	no	no	no	unknown	lung	SRR35407502						PRJNA1328772	SRP620537	SRX30487376	SAMN51359679	SRS26520773						Illumina HiSeq 4000	PAIRED	Bisulfite-Seq	GENOMIC	20279295	4096417590	2025-09-21	2025-09-21																			Illumina HiSeq 4000 sequencing: GSM9238290: T-SCLC17 Homo sapiens Bisulfite-Seq	GSM9238290	Reduced Representation			Multiomic Analysis of Lung Tumors Defines Pathways Activated in Neuroendocrine Transformation			ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/002/SRR35407502/SRR35407502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/002/SRR35407502/SRR35407502_2.fastq.gz																																											
Cell line	yes	no	no	no	unknown	lung	SRR35407503						PRJNA1328772	SRP620537	SRX30487375	SAMN51359680	SRS26520772						Illumina HiSeq 4000	PAIRED	Bisulfite-Seq	GENOMIC	0	0	2025-09-21	2025-09-21																			Illumina HiSeq 4000 sequencing: GSM9238289: T-SCLC13 Homo sapiens Bisulfite-Seq	GSM9238289	Reduced Representation			Multiomic Analysis of Lung Tumors Defines Pathways Activated in Neuroendocrine Transformation																																														
