top_label	is_cell_line	is_bulk_sorted	is_control	adjacent_normal	barrett_grade	tissue_origin	run_accession	Experiment	SampleName	BioSample	SRAStudy	BioProject	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	LibraryLayout	LibraryStrategy	LibrarySource	Platform	Model	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	first_public	last_updated	age	altitude	cell_line	cell_type	disease	environment_biome	host	host_body_site	isolate	location	sex	strain	temperature	tissue_type	sampling_site	experimental_factor	broker_name	center_name	experiment_title	library_name	library_selection	scientific_name	collection_date	study_title	sample_title	submitted_ftp	fastq_ftp	dev_stage	environment_feature	environment_material	environmental_medium	environmental_sample	host_genotype	host_phenotype	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibrarySelection	InsertSize	InsertDev	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
Tumor	no	no	no	no	unknown	unknown	SRR27651451	SRX23319977	SHAH_H000708_T05_01_DLP01	SAMN36987277	SRP403980	PRJNA821311	PRJNA821311	SRP403980	SRX23319977	SAMN36987277	SRS20191305	PAIRED	WGS	GENOMIC	ILLUMINA	Illumina NovaSeq 6000	Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	0	0	2025-04-28	2025-04-28											female							NIH-phs002857	Illumina NovaSeq 6000 sequencing: Single cellwhole genome sequencing of tumor sample from high-grade serous ovarian cancer patient.: Sample SHAH_H000708_T05_01_DLP01	SHAH_H000708_T05_01_DLP01-128754A-R60-C29	RANDOM	Homo sapiens		MSK SPECTRUM - SPatiotemporal Evolution of Cancer TRaced Using Multimodalities	"Ovarian Neoplasms tumor DNA sample from Small Bowel Mesentery of a human female participant in the dbGaP study ""MSK SPECTRUM - SPatiotemporal Evolution of Cancer Traced Using Multimodalities"""	Protected file(s). Go to dbGap									2025-04-26 09:21:02	2025-04-26 09:14:53	1940962.0	586170524.0	1940962.0	302.0	179.0		@dbgap@:reads/SRP403980/SRS20191305/SRX23319977/SRR27651451/SRR27651451.sra	SHAH_H000708_T05_01_DLP01-128754A-R60-C29	RANDOM	0.0	0.0		821311.0	SRS20191305	simple	9606.0	Homo sapiens				4331339.0	female		yes		DNA		Small Bowel Mesentery	NIH-PHS002857	SRA1784696	phs002857	GRU	D61E16D861C33D35A57C5B64F16F1A7D	AFD1627ED6BE6DCC02392400F2E87839
Tumor	no	no	no	no	unknown	unknown	SRR27651452						PRJNA821311	SRP403980	SRX23319978	SAMN36987277	SRS20191305						Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	0	0	2025-04-30	2025-04-30											female							NIH-phs002857	Illumina NovaSeq 6000 sequencing: Single cellwhole genome sequencing of tumor sample from high-grade serous ovarian cancer patient.: Sample SHAH_H000708_T05_01_DLP01	SHAH_H000708_T05_01_DLP01-128754A-R60-C30	RANDOM	Homo sapiens		MSK SPECTRUM - SPatiotemporal Evolution of Cancer TRaced Using Multimodalities	"Ovarian Neoplasms tumor DNA sample from Small Bowel Mesentery of a human female participant in the dbGaP study ""MSK SPECTRUM - SPatiotemporal Evolution of Cancer Traced Using Multimodalities"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	unknown	SRR27651453						PRJNA821311	SRP403980	SRX23319979	SAMN36987277	SRS20191305						Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	0	0	2025-04-30	2025-04-30											female							NIH-phs002857	Illumina NovaSeq 6000 sequencing: Single cellwhole genome sequencing of tumor sample from high-grade serous ovarian cancer patient.: Sample SHAH_H000708_T05_01_DLP01	SHAH_H000708_T05_01_DLP01-128754A-R60-C31	RANDOM	Homo sapiens		MSK SPECTRUM - SPatiotemporal Evolution of Cancer TRaced Using Multimodalities	"Ovarian Neoplasms tumor DNA sample from Small Bowel Mesentery of a human female participant in the dbGaP study ""MSK SPECTRUM - SPatiotemporal Evolution of Cancer Traced Using Multimodalities"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	unknown	SRR27651454						PRJNA821311	SRP403980	SRX23319980	SAMN36987277	SRS20191305						Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	0	0	2025-05-09	2025-05-09											female							NIH-phs002857	Illumina NovaSeq 6000 sequencing: Single cellwhole genome sequencing of tumor sample from high-grade serous ovarian cancer patient.: Sample SHAH_H000708_T05_01_DLP01	SHAH_H000708_T05_01_DLP01-128754A-R10-C05	RANDOM	Homo sapiens		MSK SPECTRUM - SPatiotemporal Evolution of Cancer TRaced Using Multimodalities	"Ovarian Neoplasms tumor DNA sample from Small Bowel Mesentery of a human female participant in the dbGaP study ""MSK SPECTRUM - SPatiotemporal Evolution of Cancer Traced Using Multimodalities"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	unknown	SRR27651455						PRJNA821311	SRP403980	SRX23319981	SAMN36987277	SRS20191305						Illumina NovaSeq 6000	PAIRED	WGS	GENOMIC	0	0	2025-04-28	2025-04-28											female							NIH-phs002857	Illumina NovaSeq 6000 sequencing: Single cellwhole genome sequencing of tumor sample from high-grade serous ovarian cancer patient.: Sample SHAH_H000708_T05_01_DLP01	SHAH_H000708_T05_01_DLP01-128754A-R11-C05	RANDOM	Homo sapiens		MSK SPECTRUM - SPatiotemporal Evolution of Cancer TRaced Using Multimodalities	"Ovarian Neoplasms tumor DNA sample from Small Bowel Mesentery of a human female participant in the dbGaP study ""MSK SPECTRUM - SPatiotemporal Evolution of Cancer Traced Using Multimodalities"""	Protected file(s). Go to dbGap																																												
Tumor	no	no	no	no	unknown	unknown	SRR6234909						PRJNA416320	SRP122930	SRX3343290	SAMN07947878	SRS2644444						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	22891256	1167454056	2017-12-27	2017-12-27														jejunal crypts				GEO	Illumina HiSeq 2500 sequencing: GSM2836172: SMAD4KO_Braf_1 Mus musculus RNA-Seq		cDNA	Mus musculus		Degree of Tissue Differentiation Dictates Susceptibility to BRAF-driven Colorectal Cancer	SMAD4KO_Braf_1		ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/009/SRR6234909/SRR6234909.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR6234910						PRJNA416320	SRP122930	SRX3343291	SAMN07947875	SRS2644445						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	20783528	1049859994	2017-12-27	2017-12-27														jejunal crypts				GEO	Illumina HiSeq 2500 sequencing: GSM2836173: SMAD4KO_Braf_2 Mus musculus RNA-Seq		cDNA	Mus musculus		Degree of Tissue Differentiation Dictates Susceptibility to BRAF-driven Colorectal Cancer	SMAD4KO_Braf_2		ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/000/SRR6234910/SRR6234910.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR6234911						PRJNA416320	SRP122930	SRX3343292	SAMN07947874	SRS2644446						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	22362497	1129727445	2017-12-27	2017-12-27														jejunal crypts				GEO	Illumina HiSeq 2500 sequencing: GSM2836174: SMAD4KO_Braf_3 Mus musculus RNA-Seq		cDNA	Mus musculus		Degree of Tissue Differentiation Dictates Susceptibility to BRAF-driven Colorectal Cancer	SMAD4KO_Braf_3		ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/001/SRR6234911/SRR6234911.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR6234912						PRJNA416320	SRP122930	SRX3343293	SAMN07947873	SRS2644447						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	35741682	1822825782	2017-12-27	2017-12-27														jejunal crypts				GEO	Illumina HiSeq 2500 sequencing: GSM2836175: CDX2KO_Braf_1 Mus musculus RNA-Seq		cDNA	Mus musculus		Degree of Tissue Differentiation Dictates Susceptibility to BRAF-driven Colorectal Cancer	CDX2KO_Braf_1		ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/002/SRR6234912/SRR6234912.fastq.gz																																											
Tumor	no	no	no	no	unknown	unknown	SRR6234913						PRJNA416320	SRP122930	SRX3343294	SAMN07947872	SRS2644448						Illumina HiSeq 2500	SINGLE	RNA-Seq	TRANSCRIPTOMIC	27878160	1421786160	2017-12-27	2017-12-27														jejunal crypts				GEO	Illumina HiSeq 2500 sequencing: GSM2836176: CDX2KO_Braf_2 Mus musculus RNA-Seq		cDNA	Mus musculus		Degree of Tissue Differentiation Dictates Susceptibility to BRAF-driven Colorectal Cancer	CDX2KO_Braf_2		ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/003/SRR6234913/SRR6234913.fastq.gz																																											
